sample_id,sequence,measurement
QC-001,1,108.12
QC-002,2,101.88
QC-003,3,102.72
QC-004,4,101.51
QC-005,5,101.95
QC-006,6,99.04
QC-007,7,97.46
QC-008,8,101.82
QC-009,9,93.95
QC-010,10,102.22
QC-011,11,101.59
QC-012,12,98.23
QC-013,13,100.57
QC-014,14,97.72
QC-015,15,97.2
QC-016,16,102.87
QC-017,17,100.57
QC-018,18,105.94
QC-019,19,107.82
QC-020,20,102.05
QC-021,21,100.91
QC-022,22,105.08
QC-023,23,94.88
QC-024,24,96.52
QC-025,25,99.6
QC-026,26,101.17
QC-027,27,100.5
QC-028,28,100.55
QC-029,29,112.5
QC-030,30,100.22
QC-031,31,101.92
QC-032,32,100.99
QC-033,33,98.51
QC-034,34,97.74
QC-035,35,97.17
QC-036,36,101.45
QC-037,37,99.65
QC-038,38,105.71
QC-039,39,100.71
QC-040,40,105.99
