subgroup,replicate,measurement
1,1,99.3
1,2,95.97
1,3,98.81
1,4,101.37
1,5,98.42
2,1,101.59
2,2,105.35
2,3,98.44
2,4,98.07
2,5,99.1
3,1,98.98
3,2,101.57
3,3,102.74
3,4,97.86
3,5,104.83
4,1,100.17
4,2,99.6
4,3,103.85
4,4,97.7
4,5,99.22
5,1,103.41
5,2,100.74
5,3,105.67
5,4,98.3
5,5,98.96
6,1,98.39
6,2,96.77
6,3,103.93
6,4,102.63
6,5,94.87
7,1,104.17
7,2,98.57
7,3,104.42
7,4,97.52
7,5,99.96
8,1,101.02
8,2,100.79
8,3,100.36
8,4,97.67
8,5,103.66
9,1,99.45
9,2,99.38
9,3,104.32
9,4,102.4
9,5,98.54
10,1,102.1
10,2,94.6
10,3,97.36
10,4,101.33
10,5,96.47
11,1,99.14
11,2,98.46
11,3,98.6
11,4,102.03
11,5,100.9
12,1,99.35
12,2,97.06
12,3,99.71
12,4,100.7
12,5,99.97
13,1,100.96
13,2,99.11
13,3,100.79
13,4,101.14
13,5,97.73
14,1,99.17
14,2,102.41
14,3,96.89
14,4,102.63
14,5,101.01
15,1,98.82
15,2,96.65
15,3,103.28
15,4,98.48
15,5,103.74
16,1,98.72
16,2,101.64
16,3,101.48
16,4,103.04
16,5,96.97
17,1,98.25
17,2,100.29
17,3,100.2
17,4,100.52
17,5,101.38
18,1,106.74
18,2,103.83
18,3,103.77
18,4,105.65
18,5,105.28
19,1,104.4
19,2,96.39
19,3,95.01
19,4,101.65
19,5,100.14
20,1,98.9
20,2,96.98
20,3,99.92
20,4,100.36
20,5,100.5
21,1,103.21
21,2,97.37
21,3,95.34
21,4,99.16
21,5,95.95
22,1,100.52
22,2,97.16
22,3,95.15
22,4,95.74
22,5,101.07
23,1,103.6
23,2,102.18
23,3,98.7
23,4,101.04
23,5,98.99
24,1,99.82
24,2,99.17
24,3,98.35
24,4,104.44
24,5,98.27
25,1,101.45
25,2,100.22
25,3,106.97
25,4,99.36
25,5,101.97
